Log Point,Engine Speed,MF_IA,MF_FUEL,Torque,BMEP,BSFC,IMEP,p_0,p_11,p_21,p_2_1,P_IM,p_31,p_41,p_4_1,T_0,T_11,T_21,T_2_1,T_IM,T_31,T_41,T_4_1,T_OIL,T_Water,Humidity rel,Turbine Speed,q_MI,phi_MI,Delivery Ratio,Rail Pressure,Duration_Main,FMEP,NOx_EO,SOC,MFB50,PFP,P_SOI,EGR_Rate,EGR_Temperature,ECU_VTG_Pos,ECU_EGR_Pos,ECU_Exh_Flap_Pos
95,1500.0,380.9702,10.353447,245.047,238.6802055,268.9633545,53.71122,1.013318,1.012311578,1.1109339,1.1007498,1.09370867,1.45502305,1.3110341,1.0368801,23.7161,25.70152,42.68785,23.47699,52.52073,310.51385,280.3534,134.5822,107.0311,84.8188,56.2,23797.26,38.3461,-7.616047221,0.890009592,1350.402,500.5929,0.1530074,172.6258,1.512303,8.11149,72.84108,56.57063,36.99138644,92.431,40.68302,40.44025,25.29434
96,1400.0,1520.023,71.4755412,2516.954,2451.558672,193.6880985,2428.028,1.013317,0.98775834,3.870654,3.838422,3.813356,4.1923265,1.3331367,1.2465598,24.49451,25.67253,216.6998,42.65183,65.5443,613.5045,425.0373,411.691,110.1384,88.4689,54.3,103775.3,283.6331,-4.506066114,0.900056641,1749.141,2409.4,1.354688,346.3032,-3.399467,17.66301,223.8648,194.3163,20.5542607,130.2868,29.91795,57.89743,74.03205
97,1400.0,1388.022,65.8077084,2339.985,2279.187669,191.8158346,2150.73,1.013269,0.99205488,3.678275,3.649785,3.626068,4.0195715,1.3137679,1.2099055,24.28453,25.44788,207.9363,39.90336,66.2527,597.3782,413.7519,416.6258,110.0013,89.3089,54.6,100348.7,261.1417,-4.773187632,0.887224647,1881.0,2311.652,1.13348,319.4563,-3.72887,17.73686,202.9481,172.779,22.44106162,134.6549,27.95886,60.1519,69.39367
98,1400.002,1165.492,58.19479594,2080.029,2025.985828,190.8248373,1878.991,1.013273,0.99841403,3.242923,3.219836,3.199516,3.593549,1.2998855,1.1624367,24.47745,25.31784,187.6006,35.19095,65.17126,583.50935,414.2572,427.7445,110.0116,89.5841,55.6,93327.4,230.9314,-5.605911314,0.87174317,2064.044,1936.322,1.08669,271.9817,-4.63441,16.68766,176.4735,140.3237,25.12188865,135.993,26.10823,62.15443,61.84747
99,1400.0,1008.011,50.9119884,1819.911,1772.626196,190.8054039,1603.865,1.013226,1.00217909,2.871611,2.851703,2.833911,3.1990045,1.2560203,1.1328936,23.92876,25.34433,169.0001,31.90338,63.50105,561.0758,406.0955,431.2142,109.8721,89.2693,55.0,87000.0,202.0317,-6.69672498,0.870235462,2054.094,1696.831,0.7574022,242.966,-5.529326,15.183,163.3482,122.5886,27.11938703,133.0605,25.3,65.14906,59.5
100,1399.999,884.408,43.76420394,1559.859,1519.33085,191.361586,1333.765,1.01334,1.00490745,2.501506,2.483764,2.468063,2.778926,1.2313002,1.1109748,24.06689,25.4265,147.3899,29.19941,59.88465,536.41185,398.6433,427.1927,109.3033,88.4765,55.3,79819.77,173.6676,-6.697836518,0.874893578,2048.199,1464.952,0.6917013,233.0056,-5.389016,14.39354,143.3302,104.8118,27.75285675,125.0003,25.71553,70.36459,56.2
101,1400.0,742.552,36.794142,1300.004,1266.227385,193.0433088,1073.305,1.013342,1.007464185,2.09447,2.07866,2.065707,2.334823,1.2318856,1.09024044,23.99373,25.72733,121.0983,26.53128,56.17226,516.70165,399.6555,422.7837,108.9831,88.1164,54.9,70360.66,146.0085,-7.599895541,0.858906983,1919.847,1285.067,0.7314541,225.9408,-5.647732,12.4362,124.7602,84.38874,27.0,116.642,26.85478,68.01465,49.64586
102,1400.0,629.9574,29.8013688,1040.008,1012.986583,195.4430779,815.7732,1.013323,1.009299642,1.762352,1.7486675,1.7374858,1.97506,1.2167207,1.0759775,24.02958,25.87492,97.1968,24.68129,53.02884,486.7485,390.8627,394.0667,108.5249,87.2758,53.4,60652.8,118.2594,-7.777443703,0.877206999,1814.625,1090.724,0.6783708,218.9219,-4.97242,12.05473,106.5267,72.6898,28.59421973,108.6619,28.4375,64.45375,45.39688
103,1400.0,520.2749,22.9525128,779.988,759.7224049,200.7072583,598.526,1.013201,1.01059096,1.4571653,1.4451649,1.4362074,1.67340535,1.2210915,1.06333842,23.9954,25.56664,73.03225,23.56483,50.07382,449.18335,375.3708,350.7405,107.8729,85.7871,55.6,49101.55,91.0814,-7.848238368,0.871683319,1592.0,941.0062,0.6826089,218.1955,-3.643551,10.71304,92.95867,65.2773,28.8540647,99.9234,32.09427,51.44713,39.7
104,1400.0,443.8568,16.2742356,520.0054,506.4946551,213.4585263,360.0295,1.013106,1.011304487,1.2612652,1.2502681,1.2427083,1.5280446,1.2410392,1.04988339,23.69081,25.46316,56.01325,23.45344,48.53894,386.95255,334.1323,263.8173,107.2999,85.5514,56.2,35784.73,64.5803,-7.423476106,0.873386853,1327.164,783.5524,0.5900603,207.3145,-1.103511,9.614169,81.07776,61.20348,30.32244329,94.4104,34.63145,40.92579,33.74591
105,1364.999,1487.568,70.2937357,2549.12,2482.888938,192.9046994,2422.715,1.01312,0.98834876,3.891567,3.860732,3.836457,4.2176575,1.3161451,1.2387718,24.65978,25.68185,218.5455,42.28928,65.42272,612.1221,421.1405,411.952,110.1603,88.8144,54.2,103814.4,286.096,-4.495994089,0.897026173,1726.95,2427.657,1.299901,357.9044,-3.462006,17.35955,224.632,193.5077,20.49786382,130.2807,28.86289,55.57925,74.82327
106,1365.001,1331.791,63.78826304,2339.918,2279.12241,190.7023153,2151.775,1.0131,0.99329413,3.611422,3.584465,3.561971,3.92694,1.2944779,1.1984679,24.69085,25.66303,205.5118,38.86139,65.23008,595.385,412.6966,419.9058,109.7679,89.5006,54.4,99180.9,259.6183,-4.782485018,0.887196837,1879.278,2309.334,1.16419,333.6785,-3.779428,17.36059,199.1177,167.2661,22.53325258,132.1986,27.38608,62.37152,69.43228
107,1365.001,1131.311,56.60214703,2080.017,2025.97414,190.3626966,1877.288,1.013117,0.99877565,3.161975,3.139818,3.120123,3.484375,1.2964496,1.1554006,24.4804,25.12947,183.4427,34.38084,62.7958,584.0265,417.1641,431.3342,109.5442,89.6922,55.5,91999.4,230.3708,-5.417389292,0.874352746,1993.082,1971.774,1.022703,292.8722,-4.441301,16.36949,173.1797,136.6365,24.32060458,130.7021,26.38481,59.86266,60.7905
108,1365.001,976.968,49.56762802,1819.902,1772.61743,190.5311384,1600.138,1.013099,1.00245863,2.813986,2.794769,2.77789,3.11195,1.2443382,1.1281215,24.21669,25.03576,165.8795,31.34763,61.7156,562.60955,408.8005,435.3924,109.5041,88.7932,57.2,85878.5,201.7403,-6.347868167,0.868710127,1986.297,1729.039,0.8411222,249.2181,-5.190338,14.95261,161.2965,121.2947,26.35457593,129.0953,25.35161,66.59032,59.57613
109,1365.0,861.224,42.66374112,1559.971,1519.43994,191.3192,1331.139,1.013105,1.004871459,2.481028,2.463759,2.448911,2.7551965,1.214792,1.1077233,24.36006,25.58386,146.7375,28.89903,58.97103,536.65535,398.0338,434.3885,109.2023,88.2371,54.7,79328.21,173.6416,-6.347765035,0.873204454,1970.465,1501.258,0.726444,232.8371,-4.986153,14.12598,142.432,104.8299,27.33777446,123.4256,25.14277,65.45409,57.0717
110,1365.0,721.7736,35.91043092,1300.068,1266.289722,193.2282825,1057.602,1.013113,1.007394115,2.065472,2.050049,2.037648,2.30391,1.2277103,1.08736227,24.03872,25.91662,119.5852,26.28216,54.88033,521.0196,403.551,431.328,109.012,87.733,53.0,69511.54,146.1556,-7.091630411,0.868132364,1827.372,1329.269,0.7097942,223.7308,-5.130086,12.48057,122.6381,84.18976,27.291527,114.4443,26.54872,62.17115,49.17436
111,1365.0,612.9564,29.09402496,1040.0,1012.978791,195.698102,814.1013,1.013098,1.009167562,1.7392983,1.725704,1.7152344,1.9567275,1.2188521,1.07429891,23.94854,25.49785,95.3206,24.50477,51.9556,491.57895,395.5443,395.1095,108.6025,87.0223,56.2,59764.19,118.4128,-7.144273773,0.87512813,1722.872,1130.778,0.6545633,212.8083,-4.37027,12.18399,104.7153,73.05253,27.88193724,106.8668,28.08462,57.49744,44.5
112,1365.0,510.5909,22.39894566,780.0282,759.7615604,200.8784821,595.3206,1.013086,1.010417451,1.4386407,1.4256008,1.4173709,1.66158585,1.2269661,1.06235752,24.12666,25.3852,71.3971,23.56349,48.44458,451.9804,378.6298,350.2601,107.9212,85.6706,56.7,48205.71,91.1638,-7.1967166,0.870290231,1498.269,978.1118,0.6612642,217.3338,-3.071851,10.82553,91.93033,65.93695,27.68651195,98.0006,32.375,46.33,39.02813
113,1365.0,438.6091,15.83067213,519.9758,506.4658241,212.9768347,368.7253,1.012996,1.011112515,1.2628661,1.2519211,1.2452651,1.5317553,1.2384816,1.04925145,24.45847,25.78552,56.35603,23.4774,47.73631,386.3202,332.8968,268.5703,107.4316,85.5191,54.6,35910.53,64.4309,-6.753734281,0.873619525,1277.468,799.2254,0.6039288,204.7557,-0.6901594,9.941469,80.1337,61.6605,29.72031303,93.6396,33.5962,39.06646,33.57025
114,1364.999,370.3247,9.62305458,260.0354,253.2791779,258.879069,20.71624,1.013012,1.011986407,1.1214533,1.1117489,1.1056885,1.4596746,1.2968965,1.03565976,24.78179,26.16898,44.17883,23.34834,49.6552,306.8932,277.5298,118.9145,106.8867,84.407,53.0,24326.24,39.1659,-5.975021612,0.89908402,1168.134,575.9708,0.09191299,168.0363,2.365191,9.085384,70.92404,57.06667,34.6755761,89.9484,35.71019,35.2879,25.06752
115,1299.999,1405.244,67.01218985,2584.185,2517.042881,190.4741253,2426.508,1.012941,0.99074987,3.833232,3.805002,3.783239,4.1141005,1.2795776,1.2211921,25.15331,25.17767,216.7093,40.92435,63.26205,605.4371,414.0988,417.67,110.3787,89.2507,56.2,102498.3,286.3771,-4.804103862,0.89411791,1705.599,2445.224,1.333591,408.8573,-3.845638,16.27715,223.0564,186.0029,20.285104,124.1087,27.84395,59.81338,77.2
116,1300.001,1256.495,60.1945105,2339.991,2279.193513,188.9503979,2136.967,1.012888,0.99514327,3.514848,3.490786,3.471119,3.8157045,1.2642279,1.1845132,24.88321,25.84347,202.2831,37.56363,62.03088,587.0364,406.6293,436.7661,109.7694,89.7083,53.5,97582.3,257.2413,-4.945691473,0.884527715,1819.384,2328.344,1.105344,389.9402,-4.00802,16.32145,194.7472,158.2255,21.75922234,125.0889,26.6,55.70755,70.38428
117,1300.0,1089.211,53.3524212,2080.034,2025.990698,188.403577,1854.145,1.012881,0.99962151,3.101706,3.081155,3.063786,3.3661375,1.2417136,1.1488236,24.88818,25.64832,181.9499,33.74161,59.90066,572.0309,406.51,452.2701,109.2126,89.951,54.2,91055.7,228.0018,-5.364818122,0.879974791,1845.28,2038.749,0.9780047,353.9006,-4.408338,15.41575,171.8169,132.7938,23.2518178,122.3518,26.23057,62.25796,65.2
118,1300.0,958.848,46.6639056,1819.955,1772.669053,188.3327638,1569.086,1.012826,1.00261305,2.759678,2.741462,2.725857,2.998876,1.2088491,1.1254293,24.66243,25.15849,163.1592,30.94538,57.61962,549.7001,398.645,455.0345,108.4614,88.9603,56.1,84887.5,199.4184,-5.812914663,0.877154378,1853.904,1786.843,0.7532358,332.4019,-4.651896,14.50942,154.6041,115.3892,24.33923717,118.642,25.82739,65.52802,63.28726
119,1300.0,849.762,40.1931036,1559.973,1519.441888,189.2517507,1308.224,1.012868,1.004890064,2.425054,2.407778,2.394424,2.6500085,1.1940694,1.1053501,24.339,25.16592,142.7512,28.5423,54.20556,525.06045,389.9155,458.9603,108.0957,88.3856,56.3,78131.5,171.7654,-5.998243591,0.87910102,1805.65,1571.132,0.7650225,323.1395,-4.603576,13.33431,136.051,97.49655,24.62078229,112.6025,25.97707,59.98153,59.05605
120,1300.0,728.7219,33.878403,1299.93,1266.155307,191.4292986,1037.834,1.012847,1.007012444,2.04084,2.025041,2.014118,2.254313,1.2096312,1.08555363,24.19879,25.38364,117.2317,26.1809,49.97131,506.8799,392.815,448.4479,108.6148,87.8531,54.4,68999.35,144.7795,-6.230354523,0.87878095,1676.656,1386.149,0.6992377,311.4854,-4.374396,12.51905,117.4283,81.64824,24.11842852,104.6912,27.33439,51.7121,50.7828
121,1300.0,614.2626,27.537237,1040.0,1012.978791,194.4878466,814.3056,1.012843,1.008864793,1.7002141,1.6864039,1.6775168,1.8850675,1.205316,1.07246843,24.20846,25.77665,92.4065,24.40124,47.14808,483.43745,390.9056,399.1113,108.6236,87.537,56.1,58646.91,117.6805,-6.16632076,0.881291518,1545.49,1200.363,0.6798795,280.8204,-3.34803,12.30763,100.3339,71.88923,24.09045661,98.5322,29.87516,49.3465,45.49044
122,1300.0,508.7263,21.2179266,780.0095,759.7433462,199.8059861,598.2217,1.012836,1.010221416,1.4262779,1.4133035,1.4060187,1.625568,1.2076625,1.06057063,24.10241,25.3007,70.19678,23.53545,44.98855,444.2733,372.9782,352.851,107.9263,86.1477,58.3,47686.1,90.6749,-5.992170238,0.868865217,1369.237,1027.2,0.6821321,256.8981,-1.983356,11.01852,89.83728,66.80289,24.43313282,93.4313,33.32243,41.5032,40.1
123,1300.0,431.6315,14.9769126,520.0289,506.5175445,211.5437801,366.5045,1.012802,1.011110392,1.2470957,1.236554,1.2301148,1.4881288,1.2180852,1.04709868,24.28976,25.83479,55.07135,23.45475,45.77592,383.47695,330.9738,268.7936,107.4546,85.6145,54.0,34646.51,64.0039,-5.565137918,0.88181753,1177.013,833.3297,0.5568151,209.0541,0.285056,10.59605,77.55425,61.80913,27.61426052,91.131,34.22767,37.33522,33.98365
124,1300.0,352.0392,9.0443808,259.9528,253.198724,255.5581788,31.86951,1.012798,1.01191059,1.1211363,1.1118824,1.1061015,1.43725965,1.2759398,1.03407386,24.52693,26.0685,44.02342,23.3404,49.21645,303.8609,275.3186,124.0954,106.9293,84.4926,53.1,23741.96,38.6512,-5.087279085,0.886701254,1070.873,606.2379,0.3454621,161.2785,3.064411,9.743959,69.15533,56.87821,34.00014263,88.9549,33.51266,34.83671,24.85696
125,1200.001,1235.296,61.64727217,2606.458,2538.737186,188.2046382,2413.614,1.012729,0.99553071,3.628037,3.604746,3.586863,3.889649,1.2387085,1.1895431,24.87899,25.88398,210.187,37.59079,58.49462,606.29315,417.7759,449.2441,110.2874,87.8799,54.2,98997.6,285.4038,-5.034183659,0.881161505,1688.956,2458.917,1.371963,472.3665,-4.206502,14.85398,219.0244,174.6545,19.90417674,112.0214,25.55317,55.48101,77.9
126,1200.0,1124.722,55.1840472,2340.064,2279.264616,187.652072,2123.604,1.012672,0.99845521,3.328379,3.307064,3.291002,3.6151425,1.2238937,1.1622651,24.80152,25.58492,195.1859,35.0367,56.57811,586.39085,409.69,467.6629,109.3809,88.3352,54.4,94471.6,255.4817,-4.998786899,0.878392084,1700.899,2405.833,1.155542,450.9146,-4.16457,15.14313,190.1028,148.5363,20.72775658,113.276,24.86329,47.89684,72.30569
127,1199.999,998.401,49.01437675,2079.935,2025.89427,187.5174267,1820.501,1.012688,1.00153415,2.964848,2.945558,2.931033,3.190375,1.1962649,1.1376557,24.38958,25.20595,176.0767,32.17174,54.48798,570.21755,407.2197,483.8753,109.0684,88.1049,57.1,88486.6,226.9186,-5.121541388,0.87916714,1640.494,2180.657,0.9906511,405.8237,-4.248153,14.5413,168.5978,127.2984,21.5588416,109.1488,25.13654,55.8641,69.91282
128,1200.0,884.002,42.9156144,1819.917,1772.63204,187.6425403,1545.026,1.0127,1.00405236,2.616869,2.599407,2.586394,2.790006,1.1722648,1.1173519,24.53202,25.55847,156.3385,29.66646,52.16996,550.4041,402.4753,487.7929,107.9415,88.0618,55.1,82033.8,198.6834,-5.264264029,0.8790737,1631.703,1925.173,0.7594707,392.519,-4.400395,13.62293,152.8103,111.9611,21.84072333,104.4527,25.58608,71.3924,67.41519
129,1200.001,783.5778,36.90334995,1560.079,1519.545134,188.2289371,1274.961,1.012693,1.00592649,2.291107,2.274828,2.263428,2.4386115,1.1630315,1.0982241,24.25601,25.9276,135.5416,27.5068,48.94364,526.5582,395.8769,475.9469,107.7264,87.7301,53.2,75062.3,170.8487,-5.515198917,0.878803745,1515.299,1729.792,0.5310495,391.5694,-4.045167,12.78517,130.0885,91.53989,21.5953406,98.8218,26.45223,69.45669,61.69554
