target,representative_id,sensor,fault_type,severity,random_seed,repetition,healthy_noise,n_samples,mae,rmse,r2,residual_mean,residual_standard_deviation,residual_rms,residual_maximum,residual_minimum,residual_skewness,residual_kurtosis
MF_IA,MF_IA_High,P_IM,exp_drift,0.125,52,1,0.02,300,7.954307463990184,11.533787751059187,-2.5731407698427886e+27,27.878159697635894,11.743366810688293,30.250594245027084,56.28290376844802,-3.4598384385305962,-0.3633223209653025,2.676318390016821
MF_IA,MF_IA_High,P_IM,exp_drift,0.15,53,1,0.02,300,9.273572745823827,11.613419561830252,-2.608794488117051e+27,32.569516364394616,13.612177396901334,35.29964262843578,62.50315791549974,-7.200485975830134,-0.6716345141499916,3.0831898872415717
MF_IA,MF_IA_High,P_IM,exp_drift,0.175,54,1,0.02,300,11.726776953721028,13.400699858408691,-3.4735583299690563e+27,36.93224367680289,14.962260577479652,39.84795935290976,67.26491825632456,-18.176240250159026,-0.9927714132093145,3.8064592203904217
MF_IA,MF_IA_High,P_IM,exp_drift,0.2,55,1,0.02,300,14.74084171786884,16.30396313479759,-5.141691376550209e+27,40.45956903528394,15.90240191928043,43.47255586370832,70.35313489320811,-10.288263618268502,-0.7372183897254083,2.993011825759956
MF_IA,MF_IA_High,P_IM,exp_drift,0.225,56,1,0.02,300,18.009815177591307,19.736051871410535,-7.53425285960337e+27,45.025050352951006,16.726505762822477,48.031564146085294,80.57762387831235,-6.993660677639127,-0.9117174296430804,3.326413168913164
MF_IA,MF_IA_High,P_IM,exp_drift,0.25,57,1,0.02,300,21.43049131380563,23.441078647726336,-1.0628569573901439e+28,49.37831204742505,18.081978261056324,52.58493737265639,81.97187283419998,-9.083834783012662,-0.9414468311810337,3.2519515306305906
MF_IA,MF_IA_High,P_IM,exp_drift,0.275,58,1,0.02,300,24.97449763585062,27.327611500837612,-1.4445180924359976e+28,52.826332769302695,18.80365688184437,56.07315708949547,86.11589544517392,-1.840785650683756,-0.9734716319095122,3.474249901875796
MF_IA,MF_IA_High,P_IM,exp_drift,0.3,59,1,0.02,300,28.655458409297157,31.390202028110963,-1.9059339997332532e+28,57.60781168037173,20.95214418557468,61.29969259771442,94.8572188971059,-6.268732729240355,-0.9584328677041198,3.2403070972651205
MF_IA,MF_IA_High,P_IM,exp_drift,0.35,60,1,0.02,300,36.33042691261451,39.87357214522459,-3.0753172528322665e+28,65.99003995035888,24.22560987058604,70.2962697890279,102.16628473492256,-1.112309406267741,-1.0070971229964236,3.1195270814658587
MF_IA,MF_IA_High,P_IM,exp_drift,0.4,61,1,0.02,300,44.23881147988693,48.577681331526676,-4.564499869046102e+28,74.37630948927507,26.06573094406868,78.8115330576243,112.44380285654984,-2.4427387759401427,-0.9890238269054105,3.1598790026460075
MF_IA,MF_IA_High,EGR_Rate,exp_drift,0.0125,62,1,0.02,300,33.76100047131878,33.761764496317724,-2.2048035935208725e+28,-0.611129527805972,1.5300274960114528,1.6475628784078096,3.617147956535291,-5.336492726887855,-0.024088645397841713,3.0090576412007604
