sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
105,21.43438333990868,21.820284695585283,1435.291,1402.1611917568475,1400.8941307982282,34.39686920177178,-1.2670609586193677,linear_drift,0.05,1
106,21.249367048740858,21.823870609257526,1435.291,1402.7686706262498,1400.8823568794578,34.40864312054214,-1.8863137467919842,linear_drift,0.05,1
107,21.297676048077506,21.827456522929765,1435.291,1402.6100538033002,1400.8705829606874,34.4204170393125,-1.7394708426127181,linear_drift,0.05,1
108,21.351729499652087,21.831042436602008,1435.291,1402.4325757582992,1400.858809041917,34.432190958082856,-1.5737667163821243,linear_drift,0.05,1
109,21.019850572174185,21.834628350274247,1435.291,1403.5261171344825,1400.8470351231472,34.44396487685276,-2.6790820113353675,linear_drift,0.05,1
110,20.934184683712175,21.838214263946487,1435.291,1403.845898636751,1400.8352612043768,34.45573879562312,-3.0106374323740965,linear_drift,0.05,1
111,21.749572744348967,21.84180017761873,1435.291,1401.1263050349892,1400.8234872856062,34.467512714393706,-0.3028177493829389,linear_drift,0.05,1
112,21.7519287330723,21.84538609129097,1435.291,1401.118569427725,1400.811713366836,34.47928663316384,-0.30685606088900386,linear_drift,0.05,1
113,22.158118108644395,21.848972004963212,1435.291,1399.7848951816445,1400.7999394480657,34.4910605519342,1.0150442664212278,linear_drift,0.05,1
114,21.33260579419225,21.85255791863545,1435.291,1402.4953661585291,1400.7881655292954,34.502834470704556,-1.7072006292337392,linear_drift,0.05,1
115,20.6767693610356,21.85614383230769,1435.291,1404.8086488170195,1400.7763916105255,34.51460838947446,-4.032257206494023,linear_drift,0.05,1
116,20.86530019678057,21.859729745979934,1435.291,1404.1030369809562,1400.764617691755,34.52638230824505,-3.3384192892012834,linear_drift,0.05,1
117,21.30032390028308,21.863315659652173,1435.291,1402.6013598971904,1400.7528437729848,34.53815622701518,-1.8485161242056165,linear_drift,0.05,1
118,21.46736288262193,21.866901573324416,1435.291,1402.0529073717569,1400.7410698542142,34.549930145785765,-1.311837517542699,linear_drift,0.05,1
119,21.609913385439018,21.870487486996655,1435.291,1401.5848598407126,1400.729295935444,34.5617040645559,-0.855563905268582,linear_drift,0.05,1
120,21.381185113537164,21.874073400668895,1435.291,1402.3358617721549,1400.7175220166741,34.5734779833258,-1.618339755480747,linear_drift,0.05,1
121,21.476605207231778,21.877659314341138,1435.291,1402.0225613040175,1400.7057480979038,34.58525190209616,-1.316813206113693,linear_drift,0.05,1
122,21.40249509347192,21.881245228013377,1435.291,1402.265893001102,1400.6939741791334,34.59702582086652,-1.5719188219686657,linear_drift,0.05,1
123,21.75896276848444,21.88483114168562,1435.291,1401.0954740135182,1400.682200260363,34.60879973963688,-0.4132737531551811,linear_drift,0.05,1
124,20.645910969533347,21.88841705535786,1435.291,1404.9241776244853,1400.6704263415927,34.62057365840724,-4.253751282892608,linear_drift,0.05,1
125,22.03048147444102,21.8920029690301,1435.291,1400.203974808367,1400.6586524228223,34.6323475771776,0.45467761445524957,linear_drift,0.05,1
126,21.80189508016411,21.89558888270234,1435.291,1400.9545109015921,1400.6468785040522,34.64412149594773,-0.3076323975399191,linear_drift,0.05,1
127,21.66753947292081,21.89917479637458,1435.291,1401.3956514728948,1400.635104585282,34.65589541471786,-0.7605468876126906,linear_drift,0.05,1
128,22.05380549379038,21.902760710046824,1435.291,1400.1273931797177,1400.6233306665117,34.66766933348822,0.4959374867939914,linear_drift,0.05,1
129,21.541551622921506,21.906346623719063,1435.291,1401.8093175138306,1400.6115567477414,34.67944325225858,-1.1977607660892318,linear_drift,0.05,1
130,21.047713894434015,21.909932537391303,1435.291,1403.4307746464774,1400.599782828971,34.69121717102894,-2.8309918175064013,linear_drift,0.05,1
131,21.48784303814765,21.913518451063545,1435.291,1401.9856632299282,1400.5880089102006,34.7029910897993,-1.3976543197275078,linear_drift,0.05,1
132,21.293106637164154,21.917104364735785,1435.291,1402.6250569176636,1400.5762349914307,34.7147650085692,-2.048821926232904,linear_drift,0.05,1
133,21.741970495671502,21.920690278408028,1435.291,1401.1512661095107,1400.56446107266,34.726538927340016,-0.5868050368508193,linear_drift,0.05,1
134,21.632872415470132,21.924276192080267,1435.291,1401.5094766108477,1400.55268715389,34.73831284610992,-0.956789456957722,linear_drift,0.05,1
135,20.622245997627402,21.927862105752506,1435.291,1405.012775436941,1400.5409132351197,34.75008676488028,-4.4718622018212955,linear_drift,0.05,1
136,20.594235682439628,21.93144801942475,1435.291,1405.117641509113,1400.5291393163495,34.76186068365041,-4.588502192763372,linear_drift,0.05,1
137,21.66767651885834,21.93503393309699,1435.291,1401.3952014989459,1400.517365397579,34.773634602421,-0.8778361013669382,linear_drift,0.05,1
138,21.416520775636933,21.93861984676923,1435.291,1402.2198413507826,1400.505591478809,34.7854085211909,-1.7142498719736068,linear_drift,0.05,1
139,21.725699027902575,21.94220576044147,1435.291,1401.2046915283286,1400.4938175600387,34.79718243996126,-0.7108739682898886,linear_drift,0.05,1
140,22.10573073563371,21.94579167411371,1435.291,1399.9569028568965,1400.4820436412683,34.80895635873162,0.5251407843718425,linear_drift,0.05,1
141,21.398114194745496,21.949377587785953,1435.291,1402.28027715824,1400.470269722498,34.82073027750198,-1.8100074357421363,linear_drift,0.05,1
142,20.97627726515439,21.952963501458193,1435.291,1403.688771579884,1400.4584958037278,34.83250419627211,-3.230275776156077,linear_drift,0.05,1
143,22.055551608452763,21.956549415130436,1435.291,1400.1216600210096,1400.4467218849577,34.84427811504224,0.32506186394812175,linear_drift,0.05,1
144,20.79624812885137,21.960135328802675,1435.291,1404.3613397094718,1400.4349479661873,34.8560520338126,-3.926391743284512,linear_drift,0.05,1
145,21.243887307031088,21.963721242474914,1435.291,1402.7866627029339,1400.423174047417,34.86782595258296,-2.3634886555169032,linear_drift,0.05,1
146,21.785954344900517,21.967307156147157,1435.291,1401.006850399775,1400.4114001286466,34.87959987135332,-0.5954502711283567,linear_drift,0.05,1
147,21.702193301797646,21.970893069819397,1435.291,1401.2818697693829,1400.3996262098765,34.89137379012345,-0.882243559506378,linear_drift,0.05,1
148,20.90980445918667,21.97447898349164,1435.291,1403.9369073797218,1400.3878522911061,34.90314770889381,-3.5490550886156598,linear_drift,0.05,1
149,21.38006613594946,21.97806489716388,1435.291,1402.3395358012663,1400.376078372336,34.914921627663944,-1.963457428930269,linear_drift,0.05,1
150,21.090957262096374,21.98165081083612,1435.291,1403.2887902194257,1400.3643044535654,34.92669554643453,-2.924485765860254,linear_drift,0.05,1
151,20.825894927714057,21.98523672450836,1435.291,1404.2503469081284,1400.3525305347953,34.93846946520466,-3.897816373333171,linear_drift,0.05,1
152,21.726969084973028,21.9888226381806,1435.291,1401.2005214478002,1400.340756616025,34.95024338397502,-0.8597648317752373,linear_drift,0.05,1
153,20.861993332605095,21.992408551852844,1435.291,1404.1153811474944,1400.3289826972546,34.96201730274538,-3.786398450239858,linear_drift,0.05,1
154,21.624746729559607,21.995994465525083,1435.291,1401.5361563289357,1400.3172087784844,34.97379122151551,-1.2189475504512757,linear_drift,0.05,1
155,21.74752024038564,21.999580379197322,1435.291,1401.1330441863322,1400.3054348597143,34.985565140285644,-0.8276093266179032,linear_drift,0.05,1
156,21.246999415073535,22.003166292869565,1435.291,1402.7764444682957,1400.2936609409437,34.99733905905623,-2.4827835273520122,linear_drift,0.05,1
157,21.811366690294843,22.006752206541805,1435.291,1400.923412002261,1400.2818870221736,35.00911297782636,-0.6415249800875245,linear_drift,0.05,1
158,21.532446089685628,22.010338120214048,1435.291,1401.83921444345,1400.2701131034032,35.02088689659672,-1.5691013400467,linear_drift,0.05,1
159,22.459169716887747,22.013924033886287,1435.291,1398.7023951266492,1400.258339184633,35.03266081536685,1.5559440579838792,linear_drift,0.05,1
160,21.69823547038517,22.017509947558526,1435.291,1401.2948648355823,1400.246565265863,35.044434734136985,-1.0482995697193473,linear_drift,0.05,1
161,21.285407143399564,22.02109586123077,1435.291,1402.650337284801,1400.2347913470924,35.05620865290757,-2.415545937708657,linear_drift,0.05,1
162,21.72155782704521,22.02468177490301,1435.291,1401.2182886661749,1400.2230174283222,35.0679825716777,-0.9952712378526485,linear_drift,0.05,1
163,21.376861930179597,22.02826768857525,1435.291,1402.3500564277806,1400.2112435095519,35.07975649044806,-2.138812918228723,linear_drift,0.05,1
164,20.697234582271353,22.03185360224749,1435.291,1404.7320303515457,1400.1994695907817,35.091530409218194,-4.5325607607639995,linear_drift,0.05,1
165,21.959729497428203,22.03543951591973,1435.291,1400.4362804649795,1400.1876956720114,35.10330432798855,-0.2485847929681313,linear_drift,0.05,1
166,21.69560062997543,22.039025429591973,1435.291,1401.3035160190163,1400.1759217532413,35.115078246758685,-1.1275942657750875,linear_drift,0.05,1
167,21.367018263149124,22.042611343264213,1435.291,1402.3823769314545,1400.164147834471,35.126852165529044,-2.2182290969835776,linear_drift,0.05,1
168,21.3948949056773,22.046197256936455,1435.291,1402.290847308961,1400.1523739157005,35.1386260842994,-2.138473393260483,linear_drift,0.05,1
169,21.345619335071575,22.049783170608695,1435.291,1402.4526377530985,1400.1405999969304,35.150400003069535,-2.312037756168138,linear_drift,0.05,1
170,21.1833985409298,22.053369084280938,1435.291,1402.9852703337042,1400.1288260781603,35.16217392183967,-2.85644425554392,linear_drift,0.05,1
171,21.074995476182036,22.056954997953177,1435.291,1403.341198834903,1400.11705215939,35.173947840610026,-3.2241466755131114,linear_drift,0.05,1
172,21.505962437943978,22.060540911625417,1435.291,1401.9261703472575,1400.1052782406196,35.185721759380385,-1.8208921066379844,linear_drift,0.05,1
173,20.802496340018628,22.06412682529766,1435.291,1404.3379474213518,1400.0935043218492,35.197495678150744,-4.244443099502632,linear_drift,0.05,1
174,21.027860549316827,22.0677127389699,1435.291,1403.4962167555827,1400.0817304030788,35.209269596921104,-3.4144863525039,linear_drift,0.05,1
175,21.90474701661247,22.07129865264214,1435.291,1400.6168088664085,1400.0699564843085,35.22104351569146,-0.5468523821000417,linear_drift,0.05,1
176,21.765087791076564,22.07488456631438,1435.291,1401.0753632342144,1400.0581825655383,35.232817434461595,-1.0171806686760192,linear_drift,0.05,1
177,21.848264613312892,22.07847047998662,1435.291,1400.802262083966,1400.0464086467682,35.244591353231726,-0.7558534371978567,linear_drift,0.05,1
178,21.97442583621227,22.082056393658863,1435.291,1400.388026793843,1400.0346347279979,35.256365272002085,-0.35339206584512795,linear_drift,0.05,1
179,21.96932175611005,22.085642307331103,1435.291,1400.4047854305572,1400.0228608092277,35.26813919077222,-0.3819246213295173,linear_drift,0.05,1
180,21.24614391159429,22.089228221003346,1435.291,1402.7792534116759,1400.0110868904571,35.279913109542804,-2.7681665212187454,linear_drift,0.05,1
181,21.32783113270815,22.092814134675585,1435.291,1402.5110431885996,1399.9993129716868,35.29168702831316,-2.511730216912838,linear_drift,0.05,1
182,21.876087967557208,22.096400048347824,1435.291,1400.7109074271807,1399.9875390529169,35.30346094708307,-0.7233683742638277,linear_drift,0.05,1
183,20.521089976469597,22.099985962020067,1435.291,1405.3681143753506,1399.9757651341465,35.31523486585343,-5.392349241204101,linear_drift,0.05,1
184,21.54094474910508,22.103571875692307,1435.291,1401.8113101114423,1399.9639912153762,35.327008784623786,-1.8473188960660991,linear_drift,0.05,1
185,21.21619609461366,22.10715778936455,1435.291,1402.877583487831,1399.9522172966058,35.338782703394145,-2.9253661912252937,linear_drift,0.05,1
186,21.032505404843768,22.11074370303679,1435.291,1403.4807099035474,1399.9404433778357,35.35055662216428,-3.540266525711786,linear_drift,0.05,1
187,22.20811745700467,22.11432961670903,1435.291,1399.620728299793,1399.9286694590655,35.36233054093441,0.30794115927255916,linear_drift,0.05,1
188,22.08559244352658,22.11791553038127,1435.291,1400.0230245310674,1399.9168955402952,35.37410445970477,-0.10612899077227667,linear_drift,0.05,1
189,21.7689661558041,22.12150144405351,1435.291,1401.062629087373,1399.9051216215248,35.38587837847513,-1.1575074658480844,linear_drift,0.05,1
190,21.81086735237587,22.125087357725754,1435.291,1400.9250515186118,1399.8933477027545,35.397652297245486,-1.0317038158573268,linear_drift,0.05,1
191,21.356238444127627,22.128673271397993,1435.291,1402.4177711782543,1399.881573783984,35.409426216015845,-2.536197394270175,linear_drift,0.05,1
192,21.428716207453707,22.132259185070232,1435.291,1402.1797991086369,1399.869799865214,35.42120013478598,-2.309999243422908,linear_drift,0.05,1
193,21.65315876368883,22.135845098742475,1435.291,1401.4428688121375,1399.8580259464436,35.432974053556336,-1.5848428656938722,linear_drift,0.05,1
194,20.890307366262657,22.139431012414715,1435.291,1404.009687920227,1399.8462520276735,35.44474797232647,-4.16343589255348,linear_drift,0.05,1
