sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
48,10.841494682867273,10.536865872531239,221.6221,226.84106823100586,226.18113358034708,-0.6599346506587835,-4.559033580347091,oscillation,0.05
49,10.92922145721289,10.558596441194208,221.6221,227.04668421067606,226.2130682606433,-0.8336159500327653,-4.590968260643308,oscillation,0.05
50,10.85533034288457,10.585855565248767,221.6221,226.87349656101162,226.25312756260377,-0.6203689984078551,-4.6310275626037765,oscillation,0.05
51,10.809193850419613,10.618342588824575,221.6221,226.76536081605224,226.31803935214452,-0.44732146390771277,-4.695939352144535,oscillation,0.05
52,10.873036872382803,10.655699194672392,221.6221,226.9149975216535,226.405596602093,-0.5094009195605054,-4.78349660209301,oscillation,0.05
53,11.16983918507127,10.697513356242075,221.6221,227.61064943347986,226.50360157103637,-1.107047862443494,-4.881501571036381,oscillation,0.05
54,11.02887099196195,10.743323882149994,221.6221,227.28024502336933,226.61097330827437,-0.6692717150949647,-4.988873308274378,oscillation,0.05
55,10.881754890853022,10.792625502912433,221.6221,226.935431008715,226.7265275518679,-0.20890345684711065,-5.1044275518679,oscillation,0.05
56,11.235195352344832,10.844874443840602,221.6221,227.76383268296894,226.84898979051547,-0.9148428924534642,-5.226889790515486,oscillation,0.05
57,10.954999253929735,10.899494422630724,221.6221,227.1071027883021,226.97700932083876,-0.1300934674633254,-5.354909320838772,oscillation,0.05
58,11.24883976709493,10.955883005498492,221.6221,227.79581276803174,227.10917414503393,-0.6866386229978048,-5.487074145033944,oscillation,0.05
59,10.902115336123925,11.013418251752583,221.6221,226.98315227661885,227.24402654457054,0.2608742679516922,-5.621926544570556,oscillation,0.05
60,10.882554102296035,11.07146557352058,221.6221,226.93730421840513,227.38007915817224,0.442774939767105,-5.7579791581722475,oscillation,0.05
61,10.919713573379765,11.129384734967607,221.6221,227.02439941947608,227.51583138674164,0.49143196726555516,-5.893731386741649,oscillation,0.05
62,11.233025952061414,11.186536913809451,221.6221,227.75874799396826,227.6497859442929,-0.1089620496753696,-6.027685944292898,oscillation,0.05
63,10.900579860641749,11.24229174723485,221.6221,226.97955339477363,227.78046537234258,0.8009119775689442,-6.158365372342587,oscillation,0.05
64,10.64437984039716,11.296034284523614,221.6221,226.37906604587585,227.9064283356114,1.5273622897355494,-6.284328335611406,oscillation,0.05
65,11.052475557140031,11.3471717696763,221.6221,227.33556993221265,228.0262855193045,0.6907155870918587,-6.404185519304519,oscillation,0.05
66,11.214242783952749,11.395140179246127,221.6221,227.71472358362394,228.13871495262765,0.4239913690037156,-6.516614952627663,oscillation,0.05
67,11.205044362996354,11.439410443263743,221.6221,227.69316411844954,228.24247658952976,0.5493124710802135,-6.620376589529769,oscillation,0.05
68,11.264552460145788,11.479494280640889,221.6221,227.83264053012618,228.33642598585425,0.5037854557280639,-6.714325985854259,oscillation,0.05
69,11.13890214523428,11.514949584691045,221.6221,227.53813850620998,228.4195269220411,0.8813884158311112,-6.797426922041097,oscillation,0.05
70,10.953157649268437,11.545385299367215,221.6221,227.10278639402645,228.49086283216423,1.388076438137773,-6.868762832164236,oscillation,0.05
71,11.06778471253914,11.57046573243413,221.6221,227.3714518737156,228.5496469132397,1.1781950395240983,-6.927546913239723,oscillation,0.05
